effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,X_2,-1.011468136,0.195260208,-5.180103753,2.22E-07
ran_pars,subj_id,sd__(Intercept),1.044472313,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.525752079,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.158454174,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.119778594,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.7565016,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.390552226,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.469521483,NA,NA,NA
fixed,NA,(Intercept),0.183269301,0.132686653,1.38121881,0.167211693
fixed,NA,X_1,0.310381482,0.144776186,2.143871105,0.032043216
fixed,NA,X_2,-0.556028359,0.208689381,-2.664382617,0.007712978
ran_pars,subj_id,sd__(Intercept),0.938381486,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.368253649,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.33737652,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.488824386,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.10077869,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.572901763,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.478344787,NA,NA,NA
fixed,NA,(Intercept),0.087542504,0.13614986,0.642986365,0.520232947
fixed,NA,X_1,0.247938975,0.147693032,1.678745245,0.093201704
fixed,NA,X_2,-0.773285376,0.191275087,-4.042791924,5.28E-05
ran_pars,subj_id,sd__(Intercept),0.938736461,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.300606939,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,-0.026733962,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.383480469,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.077917485,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.271469364,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.506373982,NA,NA,NA
fixed,NA,(Intercept),-0.100505674,0.133559061,-0.752518569,0.451739267
fixed,NA,X_1,0.696299372,0.15541877,4.480149814,7.46E-06
fixed,NA,X_2,-0.634719734,0.215993918,-2.938600028,0.003296982
ran_pars,subj_id,sd__(Intercept),0.858685614,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.067161243,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.025628632,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.488832751,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.09837532,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.574365335,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.527299333,NA,NA,NA
fixed,NA,(Intercept),-0.143245936,0.129713771,-1.104323265,0.269452934
fixed,NA,X_1,0.520038527,0.147632783,3.522513872,4.27E-04
fixed,NA,X_2,-0.469470425,0.215111281,-2.182453762,0.02907606
ran_pars,subj_id,sd__(Intercept),0.824199992,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.404840367,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.309625582,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.317853326,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.314424663,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.58240504,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.514496686,NA,NA,NA
fixed,NA,(Intercept),-0.057794565,0.140793106,-0.41049286,0.68144444
fixed,NA,X_1,0.601790993,0.151081154,3.983230047,6.80E-05
fixed,NA,X_2,-0.809875446,0.202098242,-4.007335431,6.14E-05
ran_pars,subj_id,sd__(Intercept),1.024935002,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.129518875,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.17460078,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.564700054,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.015626931,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.43508584,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.495077583,NA,NA,NA
fixed,NA,(Intercept),0.019969084,0.131615733,0.151722622,0.879405714
fixed,NA,X_1,0.331702554,0.152525781,2.174731056,0.029650276
fixed,NA,X_2,-0.888154267,0.211249741,-4.204285705,2.62E-05
ran_pars,subj_id,sd__(Intercept),0.849171121,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.108414738,NA,NA,NA
